District,Senator,Political-party,Counties,Phone-number,Committee-assignments
1,Doug Broxson,Republican,"Consists of Escambia, Santa Rosa counties and part of Okaloosa county",(850) 487-5001,"Banking and Insurance, Agriculture, Appropriations Subcommittee on Agriculture, Environment, and General Government, Community Affairs, Military and Veterans Affairs and Space, and Joint Committee on Public Counsel Oversight"
2,George Gainer,Republican,"Consists of Bay, Holmes, Jackson, Walton, Washington counties and part of Okaloosa county",(850) 487-5002,"Finance and Tax, Agriculture, Appropriations, Appropriations Subcommittee on Criminal and Civil Justice, and Military and Veterans Affairs and Space"
3,Bill Montford,Democrat,"Consists of Calhoun, Franklin, Gadsden, Gulf, Hamilton, Jefferson, Leon, Liberty, Madison, Taylor, Wakulla counties",(850) 487-5003,"Environment and Natural Resources, Education, Agriculture, Appropriations, Appropriations Subcommittee on Education, Rules, and Joint Legislative Auditing Committee"
4,Aaron Bean,Republican,Consists of Nassau county and part of Duval county,(850) 487-5004,"Appropriations Subcommittee on Health and Human Services, Appropriations, Appropriations Subcommittee on Agriculture, Environment, and General Government, Children, Families, and Elder Affairs, Governmental Oversight and Accountability, Health Policy, and Infrastructure and Security"
5,Rob Bradley,Republican,"Consists of Baker, Bradford, Clay, Columbia, Dixie, Gilchrist, Lafayette, Levy, Suwannee, Union counties and part of Marion county",(850) 487-5005,"Appropriations, Finance and Tax, Innovation, Industry, and Technology, Rules, and Joint Legislative Budget Commission"
6,Audrey Gibson,Democrat,Consists of part of Duval county,(850) 487-5006,"Rules, Appropriations, Innovation, Industry, and Technology, Judiciary, and Joint Legislative Budget Commission"
7,Travis Hutson,Republican,"Consists of Flagler, St. Johns counties and part of Volusia county",(850) 487-5007,"Appropriations Subcommittee on Transportation, Tourism, and Economic Development, Appropriations, Appropriations Subcommittee on Agriculture, Environment, and General Government, Commerce and Tourism, Infrastructure and Security, Innovation, Industry, and Technology, Judiciary, and Rules"
8,Keith Perry,Republican,"Consists of Alachua, Putnam counties and part of Marion county",(850) 487-5008,"Criminal Justice, Infrastructure and Security, Appropriations Subcommittee on Criminal and Civil Justice, Appropriations Subcommittee on Transportation, Tourism, and Economic Development, Banking and Insurance, Education, and Joint Administrative Procedures Committee"
9,David Simmons,Republican,Consists of Seminole county and part of Volusia county,(850) 487-5009,"Judiciary, Appropriations, Appropriations Subcommittee on Education, Community Affairs, Education, and Rules"
10,Wilton Simpson,Republican,"Consists of Citrus, Hernando counties and part of Pasco county",(850) 487-5010,"Innovation, Industry, and Technology, Appropriations, Appropriations Subcommittee on Transportation, Tourism, and Economic Development, Rules, and Joint Legislative Budget Commission"
11,Randolph Bracy,Democrat,Consists of part of Orange county,(850) 487-5011,"Appropriations Subcommittee on Criminal and Civil Justice, Criminal Justice, Finance and Tax, and Innovation, Industry, and Technology"
12,Dennis Baxley,Republican,"Consists of Sumter county and parts of Lake, Marion counties",(850) 487-5012,"Ethics and Elections, Appropriations Subcommittee on Education, Education, Finance and Tax, Health Policy, Judiciary, and Joint Legislative Auditing Committee"
13,Linda Stewart,Democrat,Consists of part of Orange county,(850) 487-5013,"Appropriations, Appropriations Subcommittee on Agriculture, Environment, and General Government, Commerce and Tourism, Infrastructure and Security, and Joint Administrative Procedures Committee"
14,Tom Wright,Republican,"Consists of parts of Brevard, Volusia counties",(850) 487-5014,"Military and Veterans Affairs and Space, Children, Families, and Elder Affairs, Commerce and Tourism, Environment and Natural Resources, and Joint Administrative Procedures Committee"
15,Victor Torres,Democrat,Consists of Osceola county and part of Orange county,(850) 487-5015,"Commerce and Tourism, Appropriations Subcommittee on Transportation, Tourism, and Economic Development, Children, Families, and Elder Affairs, Governmental Oversight and Accountability, Military and Veterans Affairs and Space, and Joint Select Committee on Collective Bargaining"
16,Ed Hooper,Republican,"Consists of parts of Pasco, Pinellas counties",(850) 487-5016,"Governmental Oversight and Accountability, Appropriations Subcommittee on Agriculture, Environment, and General Government, Appropriations Subcommittee on Health and Human Services, Health Policy, Infrastructure and Security, Joint Select Committee on Collective Bargaining, Alternating Chair, and Joint Administrative Procedures Committee"
17,Debbie Mayfield,Republican,Consists of Indian River county and part of Brevard county,(850) 487-5017,"Appropriations Subcommittee on Agriculture, Environment, and General Government, Children, Families, and Elder Affairs, Appropriations, Environment and Natural Resources, and Health Policy"
18,Janet Cruz,Democrat,Consists of part of Hillsborough county,(850) 487-5018,"Military and Veterans Affairs and Space, Education, Health Policy, Infrastructure and Security, and Joint Administrative Procedures Committee"
